name,price
BTC,"$62,467.25"
ETH,"$3,336.44"
USDT,$1.00
BNB,$559.48
SOL,$151.29
USDC,$0.9999
XRP,$0.5314
TON,$7.40
DOGE,$0.1172
ADA,$0.4333
TRX,$0.14
AVAX,$26.73
SHIB,$0.00
DOT,$6.34
LINK,$13.78
BCH,$383.18
NEAR,$5.58
LEO,$5.86
DAI,$1.00
MATIC,$0.53
LTC,$69.98
UNI,$8.37
KAS,$0.18
ICP,$8.97
PEPE,$0.00
ETC,$22.85
FET,$1.30
APT,$6.71
XLM,$0.10
XMR,$159.09
STX,$1.87
HBAR,$0.07
MKR,$2792.66
RNDR,$6.59
VET,$0.03
CRO,$0.09
ATOM,$6.28
OKB,$40.43
FIL,$4.24
MNT,$0.74
ARB,$0.73
IMX,$1.46
INJ,$21.90
TAO,$286.73
SUI,$0.80
OP,$1.77
GRT,$0.20
FDUSD,$1.00
WIF,$1.78
AR,$25.44
BONK,$0.00
NOT,$0.02
LDO,$1.74
AAVE,$104.15
BGB,$1.06
FLOKI,$0.00
THETA,$1.46
ONDO,$1.03
FTM,$0.49
JASMY,$0.03
RUNE,$3.88
ALGO,$0.16
TIA,$6.32
BRETT,$0.12
PYTH,$0.32
JUP,$0.85
SEI,$0.34
CORE,$1.17
EGLD,$35.41
OM,$1.12
QNT,$75.07
KCS,$9.36
FLOW,$0.59
FLR,$0.02
STRK,$0.60
EOS,$0.58
AKT,$3.51
BSV,$43.20
ENS,$26.79
AXS,$5.72
DYDX,$1.39
BTT,$0.00
BEAM,$0.02
XTZ,$0.79
MOG,$0.00
NEO,$10.86
GALA,$0.02
SAND,$0.32
USDD,$1.00
RON,$2.18
ENA,$0.42
GNO,$277.22
ORDI,$33.86
GT,$7.45
NEXO,$1.23
CFX,$0.16
PENDLE,$4.38
XEC,$0.00
MANA,$0.34
CHZ,$0.07
SNX,$1.86
ZK,$0.1653
SAFE,$1.40
XAUt,"$2,416.68"
DEXE,$10.34
MINA,$0.5199
ROSE,$0.08606
KLAY,$0.1522
IOTA,$0.1648
BOME,$0.007979
HNT,$3.40
WEMIX,$1.31
W,$0.29
1INCH,$0.42
CAKE,$1.97
AIOZ,$0.47
ASTR,$0.07
WLD,$1.89
CKB,$0.01
AXL,$0.70
RAY,$1.91
TUSD,$1.00
LPT,$14.56
DOG,$0.00
ZEC,$29.08
TFUEL,$0.07
XDC,$0.03
BTG,$26.42
APE,$0.75
AEVO,$0.53
NFT,$0.00
FTT,$1.35
PAXG,$2394.78
TWT,$1.06
BNX,$1.19
1000SATS,$0.00
KAVA,$0.40
ZRO,$3.97
COMP,$50.80
LUNC,$0.00
PYUSD,$1.00
WOO,$0.20
MX,$3.93
IOTX,$0.04
SFP,$0.79
ANT,$8.42
KSM,$23.04
CRV,$0.29
RPL,$16.97
PEOPLE,$0.07
SSV,$34.65
GMT,$0.15
OSMO,$0.50
MEME,$0.02
PRIME,$9.00
DASH,$27.06
GLM,$0.32
ETHDYDX,$1.39
LUNA,$0.39
ZIL,$0.02
HOT,$0.00
MEW,$0.00
BLUR,$0.18
SUPER,$0.62
XRD,$0.03
GAL,$2.54
CELO,$0.55
BLAST,$0.02
ILV,$66.37
MANTA,$0.87
JST,$0.03
ENJ,$0.18
ARKM,$1.43
ELF,$0.40
ANKR,$0.03
ZRX,$0.34
BAT,$0.19
TRAC,$0.69
SC,$0.00
ID,$0.42
CSPR,$0.02
JTO,$2.18
RVN,$0.02
DYM,$1.38
ETHW,$2.42
QTUM,$2.47
CFG,$0.52
GMX,$26.45
SKL,$0.05
RSR,$0.00
BICO,$0.32
GAS,$3.83
ETHFI,$2.16
METIS,$43.24
IO,$2.48
MASK,$2.29
CVX,$2.32
POLYX,$0.26
CHR,$0.27
DCR,$13.70
